sqft,price
1032,1882.210282920018
875,1590.3735435979395
1874,3743.1750004921114
1293,2537.253367267767
1289,3015.7687280048617
1347,3151.388982795553
1834,3848.992431289375
1504,2891.76525390389
1814,3921.411905579952
958,1961.9979520900642
879,1801.0493450278905
1279,2416.33302906802
1880,3931.544613208715
1359,2682.824592465305
1200,2239.9137515497823
1745,3593.158936926744
1310,3119.797694414022
1224,1708.1762636560893
1440,3274.2762068254765
1147,2187.143812412883
1500,3179.9634338001392
1307,2784.2644897075907
1998,3909.179425920112
1518,2700.731672212259
1356,2722.2907316265773
769,1538.4266890261624
1792,3491.848226790505
1709,3455.8798821039104
1578,3504.0610025489896
770,1655.6798695514717
1793,3322.520436400111
1629,2834.519846766025
918,2227.5788220132767
960,2332.206550200148
1300,2855.120265114253
975,1594.0387367046962
851,1441.356745478891
1931,4270.560774816506
1319,2557.7411067036123
1620,3165.1512032301775
1519,3083.138968199396
834,2219.3359884709425
1181,2580.196933744499
1810,3784.987501259671
1488,3029.696319746464
1387,2473.4516747121916
1686,3270.0346072208645
1385,2672.06453266655
1129,2530.209842892326
1476,3013.4132778874696
1191,2622.8244957780707
746,1217.2388233648571
1956,3319.88914921259
1119,2670.956564405823
1475,3190.227001327614
1948,3474.758992025802
686,760.0503334085666
1122,2346.9851661143093
1113,2443.6641154787153
1993,3859.197820803247
1554,2767.547446328623
1079,2432.092604665411
1014,2317.0799705132217
1592,3506.066284032449
958,1783.8511144462213
1306,2292.4354137230994
1189,2471.6582858655997
1721,3861.417309196716
1205,2252.4051601010556
902,2094.208306140781
1515,3359.2067122961025
1297,2774.457532392614
1048,2204.390058492525
959,1343.0694253868132
1489,2451.591721449863
1516,2803.8885124909348
898,1838.822136176644
1315,2780.1173317357816
679,875.7264117434876
835,1302.6241955478795
1721,3394.218299113092
841,2088.125091611954
1655,3566.4072447885233
1535,3678.116699922949
811,2020.0352076217773
1195,2012.2883225732514
740,1789.1005617097344
1107,2025.3325474065516
1344,3051.558157880007
650,1321.703169565055
816,1387.6813708069926
1832,3294.8269556182377
1399,2858.6315573702504
1890,4013.384056965763
854,1236.4098489817607
1725,3641.3693149633577
1615,3081.916443401434
1259,2668.7763774776804
1670,2855.6926952124645
1742,3443.813053916365
1974,4330.757974469008
1679,3419.4176923288724
1408,2641.9185554339574
678,628.0369621451802
778,1017.7998460657575
1139,2317.6769002126866
1464,2503.0428909160473
684,755.8938528682131
890,1953.7868339570584
789,1424.9367694823009
1991,3861.6829163058574
1773,3706.0230690116277
1897,4238.564884914457
1924,4089.116850618148
1809,3194.9531814960224
1491,2875.9769614504817
1260,2404.033306650217
1515,2881.9467104157607
914,1973.2190284049925
1304,2694.227735932364
1652,3347.4331975421364
1526,3992.712327710484
1101,2129.7052684631203
1072,2260.6192679016326
1834,3966.3618692975087
1099,1716.4377109574161
1342,2612.2997433702885
1609,3365.508243670421
1826,3391.179942395525
659,1254.9921109192246
1199,2888.6925727465446
1201,2529.4085366251757
753,1440.9289521594096
966,2207.176900638563
1907,3058.5231790055013
1688,3568.070608042527
1722,3027.3957785755156
1288,2597.369669006676
1140,2415.8787477513833
1142,3061.146956446997
1337,2335.917677201368
1611,2764.278646655474
734,1236.683163302525
1165,1967.0102278086677
915,2088.0580021190135
1599,2789.0425959787067
1344,2864.216723620237
1826,3505.3920728531343
1215,2587.8293165063847
963,2209.1766350901416
881,1753.9732937912092
1464,2966.378138289347
1978,4134.69888632499
1318,2599.1927147809674
701,1583.9462760108802
1705,3781.1065796265198
1266,2632.890635445937
1765,3696.0070195244643
1080,1528.36338419038
1649,3139.658752558078
740,1047.9303491767678
1695,2827.803707107184
869,1367.6679730514159
1534,3036.9135419678914
1763,3373.1955123438383
676,1240.7826026084263
1159,2474.3325389749384
1992,3841.770700775875
1214,2410.7433273813085
1595,3419.839487036627
1629,2949.849371524326
1664,3735.6168253270657
1273,3150.3652467195593
1989,3772.390576548429
1508,3103.495505572141
992,1810.3903378934508
1767,3339.2766623975263
1018,1698.2736351702224
1231,1837.504792946525
1607,3164.398324162932
822,1600.388274939102
1922,3824.448242186373
1047,2159.5954291972994
1233,2883.9026397863727
843,1464.2212134254933
1604,3247.7034447194633
1847,4056.251643406601
1180,2657.757923867593
1093,2102.491270632921
724,1400.997840329917
1241,2446.1774092461096
1740,2786.4461498540218
768,1407.5218559435816
1119,2257.478960054421
1237,2425.127539855796
1123,2384.151974215525
1939,4130.763675590633
1730,3905.9305901198572
1359,3019.643461154655
721,769.6125904651506
1290,2632.052908289127
1994,3801.450038573824
1744,3388.323782855582
1693,2964.058290907677
985,1997.4449472935607
1882,4067.66958430311
1553,2803.940740311132
1594,3724.14026465144
1615,3213.469435903715
1776,3482.3041719863622
1433,2378.8331108541524
1467,2876.0132879395337
1687,3728.754575074193
1342,2592.287114311555
1431,3083.840046891906
1478,2771.9999710227908
743,1602.067034727956
879,1785.6040483761826
1760,3275.931372868129
1424,3201.307816839251
921,2027.880342698022
1660,3236.6127986694064
1936,3626.147149530064
1499,2865.2402374655353
805,1628.7510158525047
1939,3936.728032568526
1093,2303.0964509934824
1269,3032.199025557723
1508,3186.7072522830144
928,1699.582582566012
1446,2663.706947482978
1346,2574.301689991949
1688,3648.6336261944944
765,1776.3593089404364
1724,3483.266122186408
709,1431.209526720916
1755,3587.007879481413
1137,2429.525162548892
943,1634.6201534839524
1780,3484.7083126343487
1947,4339.318554339992
864,1528.9896815827233
971,2650.7605370996616
1361,2992.9798001414465
1604,3230.1376724568327
1819,3905.0525983863886
1687,3401.0756340163916
1727,3306.5205687434427
1939,3485.785455032632
1775,3337.3156417541054
1745,3416.494324544805
976,2029.445066748232
1549,3236.6961237196742
994,2175.1531607483457
1908,3405.1066845558407
1679,3828.7655510050454
1789,3288.5675475034895
761,1077.462290242871
1872,3545.598495478359
1683,3677.132904897094
1458,2954.0385124694867
1694,3424.371461968497
1598,3474.0459940671703
1520,2895.865187739901
1393,2767.442928109528
673,1088.1717836190153
1509,3128.821175750155
1939,4258.945865105701
961,2041.652654960017
768,1701.428785751871
1823,3230.6699817039116
878,1760.5130749030177
1986,4391.376176458845
1822,3684.316955885474
739,1525.109733321986
1156,2657.2602094855233
894,1599.541094646639
1757,3653.0367483786313
819,1177.4218731750593
1904,4363.8904015642365
1843,3283.7202814274006
683,1361.0372573385994
1894,3362.2491511521703
1973,4137.719704205718
1465,3153.636442170316
678,1299.0421412368985
1916,4106.507130087631
1010,1755.339484537002
1779,3993.8990812605894
1270,2708.8322840521505
1055,2509.4761477553197
732,1319.8195694033916
1275,2700.5874278768215
849,1875.0566308911027
758,1402.3657134824202
1961,3558.7316641900056
1862,3578.2726397529777
1811,3950.0851631570963
1911,3260.0395964807876
1984,4059.6967983839045
1117,2037.3929190821207
1257,2221.3060184064493
1186,2584.881454699383
655,1577.492653014148
1118,2526.115376787221
1599,3004.316741223618
1847,3467.495657593097
1803,3927.1235218925444
877,1922.590819999176
810,1541.3012490471842
1980,3923.0273297409626
1429,2754.478097028388
1122,2431.00496206115
1309,2643.5845151564035
1437,3095.053785835018
1523,2842.9715549680814
1319,2578.9539569361514
1642,3270.7245826359726
1070,2205.091126246099
1087,2155.036534514112
700,1535.9473015389601
1200,2502.0432694112246
841,1269.8698283583033
660,1000.9397850227556
1484,3040.5689771401203
1231,2725.2148908112276
1171,2330.0786824691895
1427,2524.655348311014
1160,2809.301468193871
1335,2641.4723023183487
1496,2839.192335399172
916,1669.2805950769748
657,1056.4889926085377
954,1354.7935419899532
1009,1512.1291811128442
963,2153.3671164542366
1071,2282.4040399446135
1134,2209.564821291658
1827,3954.595800923952
1335,2458.6370681802096
1478,3555.5332209088683
1496,3539.3304451913054
1713,3031.086647500225
901,2355.8923444789057
1756,3400.0327573099444
1038,1815.7773989895861
1112,2147.0561677525357
1447,2865.995165716025
662,1656.0305435707662
1481,2833.3074690299695
1936,3889.0447234012267
776,1622.1425884595992
1840,3606.5203189798654
1338,2111.155801540869
1421,3188.2001989142955
1235,2808.370275195185
1319,2773.4835520226056
1455,3101.9339130747157
1756,3315.7339125218787
909,1647.788245755443
673,1974.504872291755
1590,3438.1039403758373
1308,2386.2747355331744
663,814.3716831428306
672,822.6050146650415
893,1559.988321990557
1906,3441.3929563373094
841,2230.7038541008365
757,1355.1294629128301
1631,3566.209400265016
1312,2520.318199051292
882,2139.7475530223924
1751,3932.895020480745
1330,2410.282314295549
1496,3167.469379279868
1402,3357.6159455718794
726,940.1194660421518
892,1749.565661140835
1975,4473.262908577268
1039,1552.507156315024
1009,1935.9966575724047
1589,3025.2053494385527
1834,3520.3924731955094
984,1725.4121017276377
1848,3081.997894136783
924,1972.6694477586686
1294,2098.9496460840815
1889,3847.3990640001084
1326,2832.4519728675946
1131,1943.9365161403691
1241,2614.2500737650967
1476,3061.582746499234
1705,3338.21423872148
1667,2773.9895030629837
1624,3147.733404804577
1366,2452.897410023028
1388,3028.7046550750465
1189,2335.6109362618427
971,2122.132452262165
1230,2514.826487663142
1577,2853.337562000145
1725,3637.008084191219
835,1448.0762395423608
1881,3971.8627491092875
1271,2592.789394733706
845,1225.6319117275038
1842,3767.2757154530314
697,1178.4286425592868
1728,3413.7288598281884
1353,2752.228815951357
706,1731.6277679495934
1162,2109.9566530693837
1423,2872.0145297790236
1493,3254.2583870507005
698,1716.1725716831497
1624,3057.0658122427253
1051,2261.14015577994
1603,3178.652042272171
1341,3268.5049335943067
1491,3526.196594380671
1951,3807.3385668770716
763,1682.2719842266392
1951,4222.887294685437
1437,2362.147748271861
1034,2348.8141460059037
1355,2847.8808359221416
1226,1897.7928804467801
1933,3832.3514977069717
714,1206.0819793672154
1303,2836.312283373292
887,2169.9263476869014
1443,3002.155173047408
1056,1824.9649276583173
740,1592.8035819422569
1644,3145.219608188406
1687,3135.087230148596
994,1929.2879135778912
830,2051.3994444604778
965,1736.3356780266915
1130,2427.262640371916
706,761.0745195383441
1884,3668.348386913423
1858,3716.7783397125745
934,1801.0125997173134
1334,2315.3144476134926
689,1426.724987710216
1227,2379.7403261466866
738,1984.2605444387755
1664,3516.384661547469
702,1455.0750145236132
1181,2310.5945158919744
1017,1925.0675858678
1832,3379.4157088679904
1929,4090.357027278932
1841,3607.3432250432616
958,1512.6412459604157
1393,2846.234435160852
1686,3542.5877394654635
1298,2850.6264678479447
785,1871.7201516041473
1695,2805.821691904681
1315,2915.2596374133827
1277,2533.49455842416
1725,3330.6646117669234
1449,2985.4433397660882
1599,3467.8404841706697
1133,2048.5345296618652
1963,3821.2422142096316
1886,3589.617017853857
1175,1646.3043474413334
1155,2611.592884076431
859,1303.184624228718
1767,3591.687725233617
1320,3025.178540041816
1573,3014.71878883547
1337,2346.0681859506985
1361,2508.818716382937
1555,3299.321665384458
1612,3358.6674202030763
1780,3953.1230161769004
1079,1916.0191632991266
1734,3043.403969734089
984,2615.5412699345466
1219,2480.130821856797
669,1351.655725255003
780,1561.4824736041612
1475,2301.600199341387
1756,3564.6302108017103
1709,3478.8541354354934
1708,3449.034383545276
1750,3469.5257158913846
977,2348.857501164951
1284,2456.018683634221
1976,4293.68321710355
1199,2692.7998558989493
1671,3685.020391555532
1612,3260.421122228516
1060,2194.6709076645293
1900,3627.8143023589755
1742,3385.0217148833513
1094,2221.3140166337716
1936,3753.3106703928506
902,2107.081457588229
1987,3999.646069436353
1641,3192.407233743349
950,1896.5750929552414
1653,4008.1710078980113
1262,2360.5876567945743
874,1343.3521583894849
1647,3281.654174723078
1265,2905.0632701834206
755,1604.0829125201458
909,1410.8739031586292
1513,2905.4063537476177
1670,3544.3913678655563
1639,3295.337752007109
1415,2686.8789656572735
1808,3620.2633268192653
1681,2663.367352391939
1569,3081.084404687633
1559,3212.98961286673
1669,3364.159750374098
874,1844.3241312220644
1362,2967.108474741264
1520,2859.230036331274
1749,3109.5945267798525
1643,3290.529979140177
1903,3419.0455299857385
1025,2117.9402032247
1956,4335.482032471856
1758,3606.273053188716
1213,2270.769113737558
1068,2128.970704757511
1564,2772.199523312597
1428,2566.9569939763105
1453,2926.099477387133
690,1523.8069172636879
1775,3283.3305048471057
1847,4573.964049048462
1507,2316.2955742743907
1527,2773.1673546993625
1521,2968.2149320226004
1299,2415.0041733188255
